Ime,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Elias,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-
Elmin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5,-,-,-
Elvin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,10,-,-
Elvis,16,14,11,-,11,11,8,10,-,-,-,-,8,-,-,-,5,-,-,-,-,-,-,-
Eman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,8,5,7,7,17,14
Emanuel,-,-,7,7,-,-,8,-,6,-,6,6,7,8,11,8,6,5,12,-,14,5,6,5
Emil,7,7,-,-,-,-,-,-,5,-,-,-,-,-,5,6,9,7,10,8,6,7,-,-
Emin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,6,5,7
Emir,9,-,-,-,-,-,-,-,5,-,5,-,5,-,5,6,7,-,-,-,-,6,11,8
Emrah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-
Enej,11,8,10,8,10,8,11,10,19,24,31,40,45,75,77,75,77,79,68,62,60,66,61,49
Enes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-
Enis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,5,-,5,-,-
Erazem,-,-,-,-,-,-,7,5,11,6,10,11,11,17,14,21,23,22,29,28,33,40,30,28
Erik,51,52,53,48,55,48,44,56,51,47,52,38,60,47,51,52,57,64,79,79,78,72,92,89
Eris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Ermin,-,-,-,-,-,-,-,-,5,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-
Ernest,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,5,-,-,-
Ervin,13,12,8,11,-,11,-,7,-,6,6,5,-,-,7,7,-,-,-,9,6,-,5,-
Etien,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,8,-,-,-
Evan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,-,10,9,-,6
Fabijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-
Fedja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,7,-,-,-
Feliks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-
Filip,34,32,22,37,41,56,66,67,63,69,77,91,102,101,118,137,166,175,196,187,231,241,253,254
Florian,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-
Florijan,-,-,-,7,11,7,6,7,-,14,7,11,-,-,-,8,8,5,-,-,8,-,-,-
Florjan,6,6,-,11,7,-,-,5,-,8,11,-,-,5,5,7,-,9,7,7,7,7,6,5
Fran,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,7,5,6,5,6,13,7
Franc,9,-,-,7,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-
Franci,9,6,10,6,7,10,9,-,8,7,-,7,-,-,-,-,-,5,5,-,-,-,-,-
Gaber,-,-,-,-,-,-,6,-,5,7,11,12,8,10,17,21,23,27,31,27,30,26,35,21
Gabriel,-,-,-,-,-,-,-,-,5,-,6,9,6,8,11,13,9,17,22,27,23,33,34,38
Gabrijel,-,-,-,-,-,-,-,6,-,7,-,7,6,-,10,14,11,11,19,8,13,19,11,15
Gaj,-,-,-,-,-,-,7,5,7,15,9,13,13,13,14,16,22,16,11,10,12,13,15,7
Gal,9,19,20,16,27,28,40,44,53,64,81,82,91,127,113,146,173,165,166,142,167,116,113,104
Ga�per,155,141,169,147,152,167,177,164,200,187,153,117,145,144,161,186,166,159,128,102,134,108,72,66
Goran,16,26,10,13,12,14,9,5,-,8,7,-,-,-,-,-,-,6,-,-,-,-,5,-
Gorazd,10,8,14,-,-,-,7,-,5,-,-,5,-,-,5,-,-,-,-,-,-,-,-,-
Grega,49,45,39,47,42,41,19,24,36,14,19,16,13,11,13,14,21,22,8,11,11,5,10,7
Gregor,215,194,201,151,129,129,94,81,80,60,52,39,34,31,26,34,22,22,20,28,18,14,16,10
Hamza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,-,-,8
Haris,15,13,16,14,11,8,8,5,-,6,7,-,-,6,-,8,5,5,-,-,5,-,-,6
Harun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-
Hugo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-
